valid_time,pressure_level,u,v,t,r
2025-07-23 18:00:00,850,1.1862602,-5.5369415,289.46558,42.76181
2025-07-23 18:00:00,700,3.4192715,-1.776125,279.14453,15.154423
2025-07-23 18:00:00,500,14.668708,-17.119629,263.92676,5.9243994
2025-07-23 19:00:00,1000,0.56169266,-3.1617393,298.3164,39.82956
2025-07-23 19:00:00,925,0.6221758,-3.0885925,293.93262,39.639587
2025-07-23 19:00:00,850,0.67714834,-6.1926336,288.469,46.76625
2025-07-23 19:00:00,700,3.8081188,-2.2577887,279.2351,16.558838
2025-07-23 19:00:00,500,13.493784,-17.893555,264.24902,6.442276
2025-07-23 20:00:00,1000,0.20233583,-2.9627132,296.79736,46.170715
2025-07-23 20:00:00,925,0.29784036,-2.8388786,292.45435,45.65178
2025-07-23 20:00:00,850,-0.08178383,-6.7225437,287.0088,53.43318
2025-07-23 20:00:00,700,4.032014,-3.2627115,279.32446,16.32405
2025-07-23 20:00:00,500,11.354079,-17.930008,264.52197,6.7574596
2025-07-23 21:00:00,1000,-0.084747374,-2.430931,295.33765,52.957138
2025-07-23 21:00:00,925,0.06449163,-2.266448,291.00854,52.3295
2025-07-23 21:00:00,850,-0.6770311,-5.705308,285.53223,63.794403
2025-07-23 21:00:00,700,3.4729185,-4.122368,279.34717,14.228169
2025-07-23 21:00:00,500,10.817056,-16.580185,264.60815,8.635807
2025-07-23 22:00:00,1000,-0.06476039,-1.7044868,294.1189,64.52809
2025-07-23 22:00:00,925,0.11508024,-1.5436144,289.78638,64.253235
2025-07-23 22:00:00,850,-0.2722705,-4.3002357,285.05542,66.22565
2025-07-23 22:00:00,700,2.730876,-5.5415707,279.0149,13.976573
2025-07-23 22:00:00,500,10.502716,-14.088684,264.396,11.713093
2025-07-23 23:00:00,1000,-0.29301035,-1.4824095,293.33423,69.23088
2025-07-23 23:00:00,925,-0.116506815,-1.3465891,288.9873,69.33644
2025-07-23 23:00:00,850,-0.65869576,-4.15958,284.6831,62.82222
2025-07-23 23:00:00,700,2.4004078,-5.2961006,278.8545,13.3822565
2025-07-23 23:00:00,500,11.127072,-12.757011,264.0791,15.504627
2025-07-24 00:00:00,1000,-0.564363,-1.0970488,292.7395,72.916824
2025-07-24 00:00:00,925,-0.39401639,-0.98250014,288.37402,73.45006
2025-07-24 00:00:00,850,-1.5159225,-3.2014904,284.3584,60.506973
2025-07-24 00:00:00,700,2.7066631,-4.775671,278.75464,12.5709505
2025-07-24 00:00:00,500,11.076769,-12.463839,263.8933,20.406784
2025-07-24 01:00:00,1000,-0.5004036,-0.9522373,292.2932,75.97818
2025-07-24 01:00:00,925,-0.3638183,-0.8364986,287.92822,76.702225
2025-07-24 01:00:00,850,-1.7991095,-2.7558556,284.1494,58.537857
2025-07-24 01:00:00,700,3.2626896,-5.163869,278.73584,11.356368
2025-07-24 01:00:00,500,10.516118,-12.937035,263.85693,25.975311
2025-07-24 02:00:00,1000,-0.5206734,-0.9891424,291.92725,78.67917
2025-07-24 02:00:00,925,-0.37344593,-0.8711133,287.58545,79.32216
2025-07-24 02:00:00,850,-2.1023264,-2.8443031,283.7815,60.089554
2025-07-24 02:00:00,700,3.4328842,-5.5518646,278.59888,12.050842
2025-07-24 02:00:00,500,10.30272,-12.693443,263.88403,29.678772
